21,Minea Petruta Eleonora,13,Neurologie,Specialist,,minea.petruta@gmail.com
22,Leuciuc Petruta Eleonora,66,Neurologie,Rezident,,leuciuc.petruta@gmail.com
23,Baciu Petruta,51,Pneumologie,Specialist,,baciu.petruta@gmail.com
24,Banu Malina,43,Gastroenterologie,Primar,,banu.malina@gmail.com
25,Creanga Malina,88,Cardiologie,Specialist,,creanga.malina@gmail.com
26,Craciunas Ecaterina Anda,46,ORL,Primar,,craciunas.ecaterina@gmail.com
27,Babei Ecaterina Anda,14,Urologie,Rezident,,babei.ecaterina@gmail.com
28,Iacobuta Maria,14,Pneumologie,Specialist,,iacobuta.maria@gmail.com
29,Hardon Maria Mihaela,77,Pneumologie,Generalist,,hardon.maria@gmail.com
30,Dudau Maria Mihaela,69,Pneumologie,Rezident,,dudau.maria@gmail.com
31,Nastaca Andreia,15,Urologie,Specialist,,nastaca.andreia@gmail.com
32,Harpa Andreia,18,ORL,Specialist,,harpa.andreia@gmail.com
33,Turcu Simina Madalina,78,Pneumologie,Generalist,,turcu.simina@gmail.com
34,Barbieru Teodora Georgiana,67,Pneumologie,Primar,,barbieru.teodora@gmail.com
35,Crainiceanu Teodora Georgiana,30,Pneumologie,Primar,,crainiceanu.teodora@gmail.com
36,Coseru Teodora Georgiana,38,Gastroenterologie,Generalist,,coseru.teodora@gmail.com
37,Fedeles Alexandra Irina,66,Cardiologie,Rezident,,fedeles.alexandra@gmail.com
38,Roman Loredana,59,ORL,Rezident,,roman.loredana@gmail.com
39,Chelaru Loredana Ana,34,Cardiologie,Rezident,,chelaru.loredana@gmail.com
40,Ambroci Loredana Ana,81,Neurologie,Primar,,ambroci.loredana@gmail.com
41,Gica Georgescu,,,,,
42,Michael Jackson,,,,,
